tic,year,quarter,Timestamp_ET,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,Trade_Count,Trade_Volume
TDG,2021,2,2021/05/11 11:45:09.452,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:45:09.452,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:45:18.000,,,,,1.0,1.0
TDG,2021,2,2021/05/11 11:45:18.308,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:45:18.342,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:45:26.000,,,,,1.0,24.0
TDG,2021,2,2021/05/11 11:45:26.313,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:45:26.324,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:45:26.357,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:45:26.357,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:45:26.357,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:45:26.357,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:45:28.609,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:45:33.000,,,,,2.0,7.0
TDG,2021,2,2021/05/11 11:45:33.164,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:45:33.164,0.047,0.0,,,,
TDG,2021,2,2021/05/11 11:45:33.164,-2.0,1.0,,,,
TDG,2021,2,2021/05/11 11:45:33.165,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:45:33.197,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:45:33.616,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:45:33.630,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:45:33.677,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:45:33.677,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:45:33.677,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:45:33.677,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:45:36.076,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:45:42.000,,,,,1.0,1.0
TDG,2021,2,2021/05/11 11:45:42.391,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:45:42.391,0.048,0.0,,,,
TDG,2021,2,2021/05/11 11:45:42.394,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:45:42.410,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:45:42.411,0.004,0.0,,,,
TDG,2021,2,2021/05/11 11:45:42.412,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:45:44.000,,,,,2.0,24.0
TDG,2021,2,2021/05/11 11:45:44.218,0.025,0.0,,,,
TDG,2021,2,2021/05/11 11:45:44.240,0.069,0.0,,,,
TDG,2021,2,2021/05/11 11:45:50.000,,,,,2.0,13.0
TDG,2021,2,2021/05/11 11:45:50.453,0.048,0.0,,,,
