tic,year,quarter,Timestamp_ET,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,Trade_Count,Trade_Volume
RFIL,2021,2,2021/06/14 16:47:16.000,,,,,4.0,500.0
RFIL,2021,2,2021/06/14 16:47:16.816,0.029,-0.2,,,,
RFIL,2021,2,2021/06/14 16:47:16.817,0.029,-0.364,,,,
RFIL,2021,2,2021/06/14 16:47:16.820,0.029,-0.429,,,,
RFIL,2021,2,2021/06/14 16:47:23.368,0.036,-0.6,,,,
RFIL,2021,2,2021/06/14 16:47:25.949,0.028,-0.875,,,,
RFIL,2021,2,2021/06/14 16:47:31.000,,,,,2.0,100.0
RFIL,2021,2,2021/06/14 16:47:33.000,,,,,1.0,20.0
RFIL,2021,2,2021/06/14 16:47:40.000,,,,,4.0,485.0
RFIL,2021,2,2021/06/14 16:48:00.000,,,1.0,,,
RFIL,2021,2,2021/06/14 16:48:14.000,,,,,2.0,50.0
RFIL,2021,2,2021/06/14 16:48:14.264,0.029,-0.364,,,,
RFIL,2021,2,2021/06/14 16:48:32.000,,,,,1.0,11.0
RFIL,2021,2,2021/06/14 16:48:55.000,,,,,1.0,14.0
RFIL,2021,2,2021/06/14 16:49:00.000,,,2.0,0.0,,
RFIL,2021,2,2021/06/14 16:49:15.600,0.029,-0.2,,,,
RFIL,2021,2,2021/06/14 16:49:21.384,0.029,-0.364,,,,
RFIL,2021,2,2021/06/14 16:50:00.000,,,8.0,0.076,,
RFIL,2021,2,2021/06/14 16:50:36.953,0.005,0.5,,,,
RFIL,2021,2,2021/06/14 16:50:42.025,0.006,0.75,,,,
RFIL,2021,2,2021/06/14 16:50:42.100,0.004,0.5,,,,
RFIL,2021,2,2021/06/14 16:50:44.000,,,,,1.0,400.0
RFIL,2021,2,2021/06/14 16:50:44.592,0.058,-0.935,,,,
RFIL,2021,2,2021/06/14 16:50:44.592,0.024,-0.6,,,,
RFIL,2021,2,2021/06/14 16:50:45.000,,,,,1.0,20.0
RFIL,2021,2,2021/06/14 16:50:45.446,0.006,0.75,,,,
RFIL,2021,2,2021/06/14 16:50:45.517,0.002,0.333,,,,
RFIL,2021,2,2021/06/14 16:50:46.000,,,,,2.0,288.0
RFIL,2021,2,2021/06/14 16:50:49.619,0.006,0.75,,,,
RFIL,2021,2,2021/06/14 16:51:10.000,,,,,1.0,100.0
RFIL,2021,2,2021/06/14 16:51:48.000,,,,,1.0,3.0
RFIL,2021,2,2021/06/14 16:52:00.000,,,7.0,0.089,,
RFIL,2021,2,2021/06/14 16:52:16.039,0.006,0.0,,,,
RFIL,2021,2,2021/06/14 16:52:27.458,0.006,0.75,,,,
RFIL,2021,2,2021/06/14 16:52:30.000,,,,,1.0,3.0
RFIL,2021,2,2021/06/14 16:52:30.496,0.002,0.714,,,,
RFIL,2021,2,2021/06/14 16:52:34.000,,,,,1.0,17.0
RFIL,2021,2,2021/06/14 16:52:34.010,0.002,0.667,,,,
RFIL,2021,2,2021/06/14 16:52:37.000,,,,,1.0,250.0
RFIL,2021,2,2021/06/14 16:52:40.000,,,,,2.0,500.0
RFIL,2021,2,2021/06/14 16:52:40.049,0.058,-0.935,,,,
RFIL,2021,2,2021/06/14 16:52:40.049,0.024,-0.333,,,,
RFIL,2021,2,2021/06/14 16:52:41.000,,,,,1.0,200.0
RFIL,2021,2,2021/06/14 16:52:41.665,0.058,-0.935,,,,
RFIL,2021,2,2021/06/14 16:53:14.000,,,,,1.0,47.0
RFIL,2021,2,2021/06/14 16:54:00.000,,,2.0,2.867,,
RFIL,2021,2,2021/06/14 16:54:03.000,,,,,1.0,100.0
RFIL,2021,2,2021/06/14 16:54:04.000,,,,,1.0,100.0
RFIL,2021,2,2021/06/14 16:54:05.000,,,,,1.0,100.0
RFIL,2021,2,2021/06/14 16:54:06.000,,,,,1.0,100.0
RFIL,2021,2,2021/06/14 16:54:07.000,,,,,1.0,100.0
RFIL,2021,2,2021/06/14 16:54:08.000,,,,,1.0,9.0
RFIL,2021,2,2021/06/14 16:54:25.000,,,,,3.0,272.0
RFIL,2021,2,2021/06/14 16:54:25.155,0.017,0.0,,,,
RFIL,2021,2,2021/06/14 16:54:26.279,-2.0,1.0,,,,
RFIL,2021,2,2021/06/14 16:55:00.000,,,6.0,5.29,,
RFIL,2021,2,2021/06/14 16:55:27.000,,,,,7.0,5000.0
RFIL,2021,2,2021/06/14 16:55:27.253,2.0,-1.0,,,,
RFIL,2021,2,2021/06/14 16:55:27.254,2.0,-1.0,,,,
RFIL,2021,2,2021/06/14 16:55:27.254,0.025,0.333,,,,
RFIL,2021,2,2021/06/14 16:55:36.711,,,,,,
RFIL,2021,2,2021/06/14 16:55:40.339,0.293,0.0,,,,
RFIL,2021,2,2021/06/14 16:55:45.313,0.021,-0.429,,,,
RFIL,2021,2,2021/06/14 16:56:00.000,,,2.0,0.014,,
RFIL,2021,2,2021/06/14 16:56:34.627,0.017,-0.333,,,,
RFIL,2021,2,2021/06/14 16:56:52.898,0.017,-0.111,,,,
RFIL,2021,2,2021/06/14 16:57:00.000,,,5.0,0.021,,
RFIL,2021,2,2021/06/14 16:57:10.676,0.011,-0.818,,,,
RFIL,2021,2,2021/06/14 16:57:24.000,,,,,3.0,200.0
RFIL,2021,2,2021/06/14 16:57:24.273,0.017,-0.111,,,,
RFIL,2021,2,2021/06/14 16:57:24.275,0.017,-0.176,,,,
RFIL,2021,2,2021/06/14 16:57:40.248,0.017,0.091,,,,
RFIL,2021,2,2021/06/14 16:57:43.373,0.011,-0.333,,,,
RFIL,2021,2,2021/06/14 16:58:00.000,,,14.0,3.209,,
RFIL,2021,2,2021/06/14 16:58:15.673,0.009,-0.429,,,,
RFIL,2021,2,2021/06/14 16:58:26.000,,,,,1.0,100.0
RFIL,2021,2,2021/06/14 16:58:26.215,0.529,0.0,,,,
RFIL,2021,2,2021/06/14 16:58:44.000,,,,,14.0,2659.0
RFIL,2021,2,2021/06/14 16:58:44.952,0.017,0.0,,,,
RFIL,2021,2,2021/06/14 16:58:44.952,2.0,-1.0,,,,
RFIL,2021,2,2021/06/14 16:58:44.952,0.025,0.333,,,,
RFIL,2021,2,2021/06/14 16:58:44.953,0.08,0.6,,,,
RFIL,2021,2,2021/06/14 16:58:44.953,0.076,0.6,,,,
RFIL,2021,2,2021/06/14 16:58:44.953,2.0,-1.0,,,,
RFIL,2021,2,2021/06/14 16:58:44.971,,,,,,
RFIL,2021,2,2021/06/14 16:58:45.000,,,,,2.0,1380.0
RFIL,2021,2,2021/06/14 16:58:45.001,0.079,0.6,,,,
RFIL,2021,2,2021/06/14 16:58:45.001,0.025,-0.25,,,,
RFIL,2021,2,2021/06/14 16:58:45.003,0.074,0.6,,,,
