tic,year,quarter,ts_min,Timestamp_ET,Timestamp_UTC,Bid_Ask_Spread,Order_Book_Imbalance,Quote_Revision_Frequency,Quote_Volatility,trade_count,trade_volume,trade_vwap
JOUT,2021,4,2021-12-10 11:15:00,2021-12-10 11:15:12.116314,2021-12-10 16:15:12.116314,0.004,0.333,2,0.074,1.0,15.0,99.69
JOUT,2021,4,2021-12-10 11:17:00,2021-12-10 11:17:28.867995,2021-12-10 16:17:28.867995,0.004,0.0,1,,,,
JOUT,2021,4,2021-12-10 11:21:00,2021-12-10 11:21:08.227079,2021-12-10 16:21:08.227079,0.003,0.0,1,,2.0,2.0,99.9125
JOUT,2021,4,2021-12-10 11:25:00,2021-12-10 11:25:19.499554,2021-12-10 16:25:19.499554,0.003,0.0,3,0.005,1.0,120.0,99.6601
JOUT,2021,4,2021-12-10 11:25:00,2021-12-10 11:25:19.540878,2021-12-10 16:25:19.540878,0.003,0.333,3,0.005,1.0,120.0,99.6601
JOUT,2021,4,2021-12-10 11:25:00,2021-12-10 11:25:20.663665,2021-12-10 16:25:20.663665,0.003,0.0,3,0.005,1.0,120.0,99.6601
JOUT,2021,4,2021-12-10 11:29:00,2021-12-10 11:29:40.515698,2021-12-10 16:29:40.515698,0.003,0.0,3,0.01,,,
JOUT,2021,4,2021-12-10 11:29:00,2021-12-10 11:29:40.558141,2021-12-10 16:29:40.558141,0.003,0.333,3,0.01,,,
JOUT,2021,4,2021-12-10 11:29:00,2021-12-10 11:29:45.761142,2021-12-10 16:29:45.761142,0.003,0.0,3,0.01,,,
JOUT,2021,4,2021-12-10 11:30:00,2021-12-10 11:30:15.201899,2021-12-10 16:30:15.201899,0.003,0.333,4,0.006,9.0,394.0,99.77357868020304
JOUT,2021,4,2021-12-10 11:30:00,2021-12-10 11:30:15.201940,2021-12-10 16:30:15.201940,0.003,0.0,4,0.006,9.0,394.0,99.77357868020304
JOUT,2021,4,2021-12-10 11:30:00,2021-12-10 11:30:15.202178,2021-12-10 16:30:15.202178,0.003,0.333,4,0.006,9.0,394.0,99.77357868020304
JOUT,2021,4,2021-12-10 11:30:00,2021-12-10 11:30:15.202219,2021-12-10 16:30:15.202219,0.003,0.0,4,0.006,9.0,394.0,99.77357868020304
JOUT,2021,4,2021-12-10 11:34:00,2021-12-10 11:34:11.532905,2021-12-10 16:34:11.532905,0.002,0.0,3,0.019,,,
JOUT,2021,4,2021-12-10 11:34:00,2021-12-10 11:34:11.566966,2021-12-10 16:34:11.566966,0.002,0.333,3,0.019,,,
JOUT,2021,4,2021-12-10 11:34:00,2021-12-10 11:34:16.485895,2021-12-10 16:34:16.485895,0.002,0.0,3,0.019,,,
JOUT,2021,4,2021-12-10 11:39:00,2021-12-10 11:39:56.483759,2021-12-10 16:39:56.483759,0.002,0.333,1,,1.0,20.0,99.8988
JOUT,2021,4,2021-12-10 11:40:00,2021-12-10 11:40:37.434661,2021-12-10 16:40:37.434661,0.002,0.0,1,,1.0,1.0,99.9748
JOUT,2021,4,2021-12-10 11:42:00,2021-12-10 11:42:53.639973,2021-12-10 16:42:53.639973,0.011,0.0,12,51.904,14.0,1026.0,100.11957115009747
